番号,本文,季,七,恋,旅,述,植,動,山,水,居,降,聳,光,神,釈,人,名,衣,時,夜,風,聞,備考
01,かきりさへ にたるはななきさくらかな,春,,,,,木,,,,,,,,,,,,,,,,,
02,しつかにくるる はるかせのには,春,,,,,,,,,居,,,,,,,,,,夕,,風,
03,ほのかすむ のきはのみねに つきいてて,春,月,,,,,,山,,居,,聳,光,,,,,,,夜,,,
04,おもひもわかぬ かりふしのそら,,,,旅,,,,,,,,,,,,,,,,夜,,,
05,こしかたを いつくとゆめの かへるらむ,,夢,,旅,,,,,,,,,,,,,,,,夜,,,
06,ゆくひとみえぬ のへのはるけさ,,,,,,,,,,,,,,,,人,,,,,,,
07,しもまよふ みちはかすかに あらはれて,冬,,,,,,,,,,降,,,,,,,,,,,,
08,かるるもしるき くさむらのかけ,冬,,,,,草,,,,,,,,,,,,,,,,,
09,なくむしの したふあきなと いそくらむ,秋,,,,,,虫,,,,,,,,,,,,,,,,
10,そのままはけし のわきたつこゑ,秋,,,,,,,,,,,,,,,,,,,,,風,聞
11,めにかかる くももなきまて つきすみて,秋,月,,,,,,,,,,聳,光,,,,,,,夜,,,
12,きよみかせきと なみそあけゆく,,,,旅,,,,,水,□,,,,,,,名,,△,夜,,,居列□・時列△は判読不鮮明・要確認
13,いつきてか すみたかはらに またもねむ,,,,旅,,,,,水,,,,,,,,名,,,夜,,,
14,はなれはつらし ともとするひと,,,,,,,,,,,,,,,,人,,,,,,,
15,ちきりきや あらぬのやまの はなのかけ,春,,,,,木,,山,,,,,,,,,,,,,,,
16,よをのかれても はるはむつまし,春,,,,述,,,,,,,,,,,,,,,,,,
17,みをかくす いほはかすみを たよりにて,春,,,,述,,,,,居,,聳,,,,人,,,,,,,
18,きえむけふりの ゆくへをそまつ,,,,,述,,,,,,,聳,,,,,,,,,,,
19,もしほくむ そてさへつきを たのむよに,秋,月,,,,×,,,水,,,,光,,,,,衣,,夜,,,植列×は要確認
20,こころなくてや あきをうらみむ,秋,,,,,,,,,,,,,,,,,,,,,,
21,かかるなよ あたことのはの つゆのくれ,秋,,恋,,,,,,,,降,,,,,,,,夕,,,,
22,たれをかとはむ あはれともみし,,,恋,,,,,,,,,,,,,人,,,,,,,
23,ちきりても えやはなへての くさのはら,,,恋,,,草,,,,,,,,,,,,,,,,,
24,かへりこむをも しらぬふるさと,,,,旅,,,,,,居,,,,,,,,,,,,,
25,いかにせし ふなてそあとも くものなみ,,船,,旅,,,,,水,,,聳,,,,,,,,,,,
26,なみたのうみを わたるたひひと,,涙,,旅,,,,,水,,,,,,,人,,,,,,,
27,もろこしも あめのしたとや つらからむ,,,,,,,,,,,,,,,,,□,,,,,,名列□は要確認
28,すめはのとけき ひのもともなし,春,,,,,,,,,,,□,,,,,□,,,,,,聳列・名列の□は要確認
29,さくらさく みねのしはやに はるくれて,春,,,,,木,,山,,居,,,,,,,,,,,,,
30,うすくかすめる やまきはのさと,春,,,,,,,山,,居,,聳,,,,,,,,,,,
31,つきおちて とりのこゑこゑ あくるよに,秋,月,,,,,鳥,,,,,,光,,,,,,△,夜,,聞,時列△は判読不鮮明・要確認
32,つゆなこりなく おきやわかれむ,秋,,恋,,,,,,,,降,,,,,,,,,夜,,,
33,みにしめる かせのみそての かたみにて,秋,,恋,,,,,,,,,,,,,人,,衣,,,風,,
34,たへこしかたの ゆふへにそなる,,,恋,,,,,,,,,,,,,,,,夕,,,,
35,おもふなよ わすれむもこそ こころなれ,,,恋,,,,,,,,,,,,,,,,,,,,
36,つらきにのみや ならはさるへき,,,恋,,,,,,,,,,,,,,,,,,,,
37,みちあるも かたへはのこる よもきふに,,,,,,草,,,,□,,,,,,,,,,,,,居列□は要確認
38,しるひとをしる はなのあはれさ,春,,,,,木,,,,,,,,,,人,,,,,,,
39,をりにあふ かすみのそても いろいろに,春,,,,,,,,,,,聳,,,,,,,□,,,,時列□は要確認
