番号,本文,季,七,恋,旅,述,植,動,山,水,居,降,聳,光,神,釈,人,名,衣,時,夜,風,聞,備考
01,うすゆきに このはいろこき やまちかな,冬,,,,,木,,山,,,降,,,,,,,,,,,
02,いはもとすすき ふゆやなほみむ,冬,,,,,草,,,,,,,,,,,,,,,,,
03,まつむしに さそはれそめし やといてて,秋,,,,,,虫,,,居,,,,,,,,,,,,,
04,さよふけけりな そてのあきかせ,秋,,,,,,,,,,,,,,,,,衣,,夜,風,,
05,つゆさむし つきもひかりや かはるらむ,秋,月,,,,,,,,,降,,光,,,,,,,夜,,,
06,おもひもなれぬ のへのゆくすゑ,,,,旅,,,,,,,,,,,,,,,,,,,
07,かたらふも はかなのともや たひのそら,,,,旅,,,,,,,,,,,,人,,,,,,,
08,くもをしるへの みねのはるけさ,,,,旅,,,,山,,,,聳,,,,,,,,,,,
09,うきはたた とりをうらやむ はななれや,春,,,,,木,鳥,,,,,,,,,,,,,,,,
10,みをなさはやの あさゆふのはる,春,,,,,,,,,,,,,,,人,,,×,,,,時列の×は判読困難・要確認
11,ふるさとも のこらすきゆる ゆきをみて,春,,,,,,,,,居,降,,,,,,,,,,,,
12,よにこそみちは あらまほしけれ,,,,,,,,,,,,,,,,,,,,,,,
13,なにをかは こけのたもとに うらみまし,,,,,述,×,,,,,,,,,,,衣,,,,,,述列は述懐、植列の×は語の帰属を保留する記号（意味は要確認）
14,すめはやまかつ ひともたつぬな,,,,,,,,,×,,,,,,,人,,,,,,,山列ではなく水列の×の可能性あり・要再確認
15,なもしらぬ こくさのもとに あとしめて,,,,,,,,,◎,,,,,,,,,,,,,,水列の◎（強い帰属を示す記号か）
16,あはれはつきに なほそそひゆく,秋,月,,,,,,,,,,,光,,,,,,,夜,,,
17,あきのよも かたるまくらに あけやせむ,秋,枕,恋,,,,,,,,,,,,,,,,,夜,,,衣列△は判読困難・要確認
18,おもひのつゆを かけしくやしさ,秋,,恋,,,,,,,,降,,,,,,,,,,,,
19,たかならぬ あたのたのみを いのちにて,,,恋,,,,,,,,,,,,,人,,,,,,,
20,さそふつてまつ わひひとそうき,,,恋,,,,,,,,,,,,,人,,,,,,,
21,すみはなれ いまはほとさへ くもゐちに,,,,,,,,,,,,聳,,,,,,,,,,,
22,いりにしやまよ なにかさひしき,,,,,,,,山,,,,,,,,,,,,,,,
23,わきてその いろやはみゆる まつのかせ,,松,,,,木,,,,,,,,,,,,,,,風,,
24,いつみをきけは たたあきのこゑ,夏,,,,,,,,水,,,,,,,,,,,,,聞,
25,ほたるとふ そらによふかく はしゐして,夏,,,,,,虫,,,□,,,,,,,,,,夜,,,居列□は判読上「居」と推定・要確認
26,ものおもふたまや ねむかたもなき,,,恋,,,,,,,,,,,,,,,,,夜,,,
27,まくらさへ しるとはしるな わかこころ,,枕,恋,,,,,,,,,,,,,人,,,,夜,,,
28,なみたをたにも なくさめにせむ,,涙,恋,,,,,,,,,,,,,,,,,,,,
29,ふちころも なこりおほくも けふぬきて,,衣,,,述,×,,,,,,,,,,,衣,,,,,,植列の×は要確認（13句と同様の記号）
30,いてむもかなし あきのやまてら,秋,,,,,,,山,,,,,,,釈,,,,,,,,
31,しかのねを あとなるみねの ゆふまくれ,秋,,,,,,獣,山,,,,,,,,,,,夕,,,聞,
32,のわきせしひの きりのあはれさ,秋,,,,,,,,,□,聳,□,,,,,,,,,風,,居・降・聳列の□/聳/□は列位置が確定できず要再確認（きり=霧の帰属判定）
33,しつかなる かねにつきまつ さとみえて,秋,月,,,,,,,,居,,光,,,,,,,,夜,,,
34,ゆきてこころを みたさむもうし,,,恋,,,,,,,,,,,,,,,,,,,,
35,われならて かよふやひとも しのふらむ,,,恋,,,,,,,,,,,,,人,,,,,,,
36,ふるきみやこの いにしへのみち,,,,,述,,,,,,,,,,,,,,,,,,
37,さくはなも おもはさらめや はるのゆめ,春,夢,,,,木,,,,,,,,,,,,,,,,×,夢の右列に×（要確認）
38,さくらといへは やまかせそふく,春,,,,,木,,山,,,,,,,,,,,,,風,,
39,あさつゆも なほのとかにて かすむのに,春,,,,,,,,,,降,聳,,,,,,,朝,,,,
40,うちなかむるも あちきなのよや,,,,,,,,,,,,,,,,,,,,,,,
41,ふくるまて みのうきつきを いみかねて,秋,月,,,,,,,,,,,光,,,人,,,,夜,,,
42,いまよりいとふ なかきよのやみ,秋,,,,,,,,,,,,,,,,,,,夜,,,
43,いさりひを みるもすさまし おきつふね,秋,船,,,,,,,水,,,,,,,,,,,夜,,,
44,ゆふへのなみの あらいそのこゑ,,,,,,,,,水,,,,,,,,,,夕,,,聞,
45,ほととさす なのりそれとも たれわかむ,夏,,,,,,鳥,,,□,,,,,,人,,,,,,,居列□は要確認
46,かへらむたひを ひとよわするな,,,,旅,,,,,,,,,,,,人,,,,,,,
47,ありぬやと こころみにすむ やまさとに,,,,,,,山,,,居,,,,,,,,,,,,
48,ならはしをれ あらしもそうき,,,,,,,,,,,,,,,,,,,,,,風,
49,つれなしや のはしもかれの おもひくさ,冬,,恋,,,草,,,,,降,,,,,,,,,,,,
50,いつかこころの まつもしられし,,松,恋,,,,,,,,,,,,,,,,,,,,
51,わかのうらや いそかくれつつ まよふみに,,,,,,,,,水,,,,,,,人,名,,,,,,
52,みちくるしほや ひとしたふらむ,,,,,,,,,水,,,,,,,人,,,,,,,
53,すてらるる かたわれをふね くちやらて,,船,,,,,,,水,,,,,,,,,,,,,
54,このしたもみち たつぬるもなし,秋,,,,,木,,,,,,,,,,,,,,,,,
55,つゆもはや おきわふるにはの あきのくれ,秋,,,,,,,,,居,降,,,,,,,,夕,,,,
56,むしのねほそし しもをまつころ,秋,,,,,,虫,,,,降,,,,,,,,,,,聞,
57,ねぬよはの こころもしらす つきすみて,秋,月,,,,,,,,,,,光,,,,,,,夜,,,
58,あやにくなれや おもひたえはや,,,恋,,,,,,,,,,,,,,,,,,,,
59,たのむこと あれはなほうき よのなかに,,,恋,,,,,,,,,,,,,,,,,,,,
60,おいてやひとは みをやすくせむ,,,,,述,,,,,,,,,,,人,,,,,,,
61,こえしとの のりもくるしき みちにして,,,,,述,,,,,,,,,,,,,,,,,,
62,ゆきふむこまの あしひきのやま,冬,,,旅,,,獣,山,,,降,,,,,,,,,,,,
63,そてさえて よるはしくれの あさとてに,冬,,,旅,,,,,,居,降,,,,,,,衣,朝,×,,,,時列の×は判読困難・要確認
64,うらみかたしよ まつかせのこゑ,,松,,,,木,,,,,,,,,,,,,,,風,聞,
65,はなをのみ おもへはかすむ つきのもと,春,月,,,,木,,,,,,聳,光,,,,,,,夜,,,
66,ふちさくころの たそかれのそら,春,,,,,草,,,,,,,,,,,,,▽,,,,右列▽は判読困難・要確認
67,はるそゆく こころもえやは とめさらむ,春,,,,,,,,,,,,,,,,,,,,,,
68,みやまにのこる うくひすのこゑ,春,,,,,,鳥,山,,,,,,,,,,,,,,聞,
69,うちつけの あきにさひしく きりたちて,秋,,,,,,,,,,,□,聳,,,,,,,,,聞,居列□は要確認
70,けさやみにしむ あまのかはかせ,秋,,×,,,,,,×,,,,,×,,人,,,朝,,風,,恋列・水列・光列の×は帰属未確定を示す記号か・要確認
71,ころもうつ やとをかりふし おきわかれ,秋,,,旅,,,,,,居,,,,,,,,衣,,夜,,,
72,ゆめはあとなき のへのつゆけさ,秋,夢,,旅,,,,,,,降,,,,,,,,,夜,,,
73,かけしろき つきをまくらの むらすすき,秋,月枕,,,,草,,,,,,光,,,,,,,,夜,,,
74,いつしかひとに なれつつもみむ,,,恋,,,,,,,,,,,,,人,,,,,,,
75,をちこちに なりてあさまの ゆふけふり,,煙,恋,,,,,山,,,,聳,,,,,名,,夕,,,,
76,きゆともくもを それとしらめや,,,恋,,,,,,,,,聳,,,,,,,,,,,
77,はかなしや にしをこころの しはのいほ,,,,,,,,,,居,,,,,釈,,,,,,,,
78,みのふりぬまは なにおもひけむ,,,,述,,,,,,,,,,,,人,,,,,,,
79,みるめにも みみにもすさひ とほさかり,,,,,,,,,,,,,,,,,,,,,,,
80,ふゆのはやしに みつこほるこゑ,冬,,,,,木,,,水,,,,,,,,,,,,,聞,
81,ゆふからす ねにゆくやまは ゆきはれて,冬,,,,,,鳥,山,,,,,,,,,,,,夕,,,
82,いらかのうへの つきのさむけさ,冬,月,,,,,,,,居,,光,,,,,,,,夜,,,
83,たれとなく かねにおとして ふくるよに,,,,,,,,,,,,,,,,人,,,夜,,聞,
84,ふるひとめきて うちそしはふく,,,,,,,,,,,,,,,,人,,,,,,,
85,よもきふや とふもたよりに かこつらむ,,,,,,草,,,,□,,,,,,,,,,,,,居列□は要確認
86,このころしけさ まさるみちしは,夏,,,,,草,,,,,,,,,,,,,,,,,
87,あつきひは かけよわるつゆの あきかせに,秋,,,,,,,,,降,,光,,,,,,,,,風,,
88,ころもてうすし ひくらしのこゑ,秋,衣,,,,,虫,,,,,,,,,,,衣,,,,聞,
89,いろかはる やまのしらくも うちなひき,秋,,,,,,,山,,,,聳,,,,,,,,,,,
90,をのへのまつも こころみせけり,,松,,,,木,,山,,,,,,,,,,,,,,,
91,たのめなほ ちきりしひとを くさのいほ,,,,,,×,,,,居,,,,,人,,,,,,,,植列×は要確認
92,うときはなにか ゆかしけもある,,,恋,,,,,,,,,,,,,,,,,,,,
93,わりなしや なこそのせきの まへわたり,,,恋,,,,,×,,,,,,,,,名,,,,,,,山列×は要確認
94,たれよふことり なきてすくらむ,春,,,,,,鳥,,,,,,,,,人,,,,,,,
95,おもひたつ くもちにかすむ あまつかり,春,,,,,,鳥,,,,,聳,,,,,,,,,,,
96,さこそははなを あとのやまこえ,春,,,旅,,木,,山,,,,,,,,,,,,,,,
97,こころをも そめにしものを よすてひと,,,,,述,,,,,,,,,,人,,,,,,,,
98,いてはかりなる やとりともなし,,,,,,,,,,□,,,,,,,,,,,,,居列□は要確認
99,つゆのまを うきふるさとと おもふなよ,秋,,,,,,,,,居,降,,,,,,,,,,,,
00,ひとむらさめに つきそいさよふ,秋,月,,,,,,,,,降,,光,,,,,,,夜,,,
